Location,DF_Market,TMO,Flavor,Taste,Thickness,Length,PMI SKU,Cluster SKU
East Midlands,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Salalah,Oman,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Osaka - Kansai,Japan,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Bologna,Italy,PMI,Regular,Full Flavor,SLI,KS,1,3
Qingdao Liuting,China,PMI,Regular,Full Flavor,STD,KS,1,7
Aarhus,Denmark,PMI,Regular,Full Flavor,STD,KS,1,3
Hurgada,Egypt,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Accra,Ghana,PMI,Regular,Full Flavor,SLI,KS,1,0
Ningbo Lishe,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Penang,Malaysia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Milan - Linate,Italy,PMI,Regular,Full Flavor,SLI,KS,1,3
Bogota,Colombia,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Montpellier,France,PMI,Regular,Full Flavor,STD,KS,1,7
Cork,Ireland,PMI,Regular,Full Flavor,SLI,KS,1,2
Barcelona,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,7
Melbourne,Australia,PMI,Regular,Full Flavor,STD,KS,1,3
Kuwait,Kuwait,PMI,Regular,Full Flavor,SLI,KS,1,0
Nis,Serbia,PMI,Regular,Full Flavor,SLI,KS,1,1
Palma De Mallorca,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Casablanca,Morocco,PMI,Regular,Full Flavor,STD,KS,1,5
Sarajevo,Bosnia-Herzegovinia,PMI,Regular,Full Flavor,SLI,KS,1,2
Auckland,New Zealand,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Danang,Vietnam,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Santiago Cibao,Dominican Republic,PMI,Menthol,Full Flavor,STD,KS,1,2
Indira Gandhi,India,PMI,Regular,Full Flavor,SLI,KS,1,2
Lusaka,Zambia,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Liverpool,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Dubai,United Arab Emirates,PMI,Regular,Full Flavor,SLI,KS,1,1
Helsinki-Vantaa,Finland,PMI,Regular,Full Flavor,STD,KS,1,0
Kuala Lumpur,Malaysia,PMI,Regular,Full Flavor,SLI,KS,1,1
London Gatwick,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Dalaman Airport,Turkey,PMI,Regular,Full Flavor,SLI,KS,1,8
Kunming Wujiaba,China,PMI,Regular,Full Flavor,STD,KS,1,7
Seoul,South Korea,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Colombo,Sri Lanka,PMI,Regular,Full Flavor,STD,KS,1,0
Bremen,Germany,PMI,Regular,Full Flavor,SLI,KS,1,4
Almeria,Spain,PMI,Regular,Full Flavor,SLI,KS,1,2
Belgrade,Serbia,PMI,Regular,Full Flavor,SLI,KS,1,1
Puerto Vallarta,Mexico,PMI,Regular,Full Flavor,SLI,KS,1,2
Mazatlan,Mexico,PMI,Regular,Full Flavor,STD,KS,1,5
Quanzhou,China,PMI,Regular,Full Flavor,STD,KS,1,7
Diyarbakir Airport,Turkey,PMI,Regular,Full Flavor,STD,KS,1,14
Chengdu Tianfu,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Lille,France,PMI,Regular,Full Flavor,STD,KS,1,7
Manas,Kyrgyzstan,PMI,Regular,Full Flavor,SLI,KS,1,0
Beirut - Rafik Hariri,Lebanon,PMI,Regular,Full Flavor,STD,KS,1,0
Trabzon Airport,Turkey,PMI,Regular,Full Flavor,SLI,KS,1,8
Izmir Airport,Turkey,PMI,NTD Caps,Full Flavor,STD,KS,1,11
Alexandria,Egypt,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Nuernberg,Germany,PMI,Regular,Full Flavor,STD,KS,1,6
Wuxi Shuofang,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Bari,Italy,PMI,Regular,Full Flavor,STD,KS,1,8
Genoa,Italy,PMI,Regular,Full Flavor,STD,KS,1,7
Taipei - Taoyuan,Taiwan,PMI,Menthol,Full Flavor,STD,KS,1,1
Perth,Australia,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Kutaisi,Georgia,PMI,Regular,Full Flavor,STD,KS,1,2
Samsun Airport,Turkey,PMI,Regular,Lights,STD,KS,1,1
Nantes,France,PMI,Regular,Full Flavor,SLI,KS,1,2
Quito,Ecuador,PMI,Regular,Full Flavor,STD,KS,1,1
Moscow - Vnukovo,Russia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Stuttgart,Germany,PMI,Regular,Full Flavor,SLI,KS,1,5
Mitilini,Greece,PMI,Regular,Full Flavor,SLI,KS,1,8
