Location,DF_Market,Flavor,Taste,Thickness,Length,DF_Vol,Real_So_Segment,Ideal_So_Segment,Delta_SoS
Yinchuan Hedong,China,Regular,Full Flavor,SLI,100,0.000000,0.000000000000,0.000116085348,0.000116085348
Yinchuan Hedong,China,Menthol,Full Flavor,SLI,KS,0.000000,0.000000000000,0.000945122852,0.000945122852
Yinchuan Hedong,China,Menthol Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.001415196600,0.001415196600
Yinchuan Hedong,China,Regular,Lights,STD,KS,24.790000,0.030104204995,0.170873422412,0.140769217417
Yinchuan Hedong,China,NTD Caps,Full Flavor,STD,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Yinchuan Hedong,China,Menthol Caps,Full Flavor,STD,KS,37.400000,0.045417396806,0.041258440385,-0.004158956421
Yinchuan Hedong,China,Menthol,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000192327455,0.000192327455
Yinchuan Hedong,China,Menthol,Full Flavor,STD,LONGER THAN KS,0.956000,0.001160936667,0.000006654571,-0.001154282096
Enfidha,Tunisia,Regular,Lights,STD,100,5.200000,0.000397365163,0.047476496018,0.047079130855
Enfidha,Tunisia,Regular,Full Flavor,SLI,KS,3334.800000,0.254833335881,0.008208882616,-0.246624453265
Enfidha,Tunisia,Regular,Full Flavor,SLI,EXTRA LONG,0.000000,0.000000000000,0.000024049011,0.000024049011
Enfidha,Tunisia,Menthol,Full Flavor,STD,KS,83.000000,0.006342559337,0.000993387858,-0.005349171479
Enfidha,Tunisia,Regular,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.001144871954,0.001144871954
Enfidha,Tunisia,NTD Caps,Ultralights,STD,KS,0.000000,0.000000000000,0.250000000000,0.250000000000
Enfidha,Tunisia,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.065861156561,0.065861156561
Enfidha,Tunisia,Menthol,Full Flavor,STD,100,0.600000,0.000045849827,0.000099390129,0.000053540302
Enfidha,Tunisia,NTD Caps,Full Flavor,SLI,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Enfidha,Tunisia,Regular,Lights,STD,LONGER THAN KS,0.000000,0.000000000000,0.001487183308,0.001487183308
Enfidha,Tunisia,Menthol Caps,Full Flavor,SSL,100,4.200000,0.000320948786,0.000299465197,-0.000021483589
Enfidha,Tunisia,Regular,Full Flavor,SSL,100,8.000000,0.000611331020,0.020138448554,0.019527117534
Enfidha,Tunisia,NTD Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.400000000000,0.400000000000
Enfidha,Tunisia,Regular,Lights,SLI,KS,0.000000,0.000000000000,0.009893032154,0.009893032154
Enfidha,Tunisia,Regular,Full Flavor,STD,KS,8839.200000,0.675459644511,0.362635971041,-0.312823673470
Enfidha,Tunisia,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.005655757662,0.005655757662
Enfidha,Tunisia,Menthol,Full Flavor,SSL,100,7.600000,0.000580764469,0.000404608169,-0.000176156300
Enfidha,Tunisia,Regular,1mg,STD,KS,0.000000,0.000000000000,0.000350181462,0.000350181462
Enfidha,Tunisia,Regular,Lights,SSL,100,0.000000,0.000000000000,0.005114128468,0.005114128468
Enfidha,Tunisia,Regular,Full Flavor,SSL,KS,0.800000,0.000061133102,0.000503315184,0.000442182082
Enfidha,Tunisia,Regular,Full Flavor,STD,100,13.800000,0.001054546010,0.064117380734,0.063062834724
Enfidha,Tunisia,NTD Caps,Full Flavor,STD,KS,691.000000,0.052803716893,0.400000000000,0.347196283107
Enfidha,Tunisia,Menthol Caps,Full Flavor,STD,100,0.000000,0.000000000000,0.000038134875,0.000038134875
Enfidha,Tunisia,Menthol Caps,Full Flavor,SLI,KS,0.000000,0.000000000000,0.000070263704,0.000070263704
Enfidha,Tunisia,NTD Caps,Full Flavor,SSL,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Enfidha,Tunisia,Menthol,Full Flavor,SLI,EXTRA LONG,0.000000,0.000000000000,0.300000000000,0.300000000000
Enfidha,Tunisia,Menthol,Full Flavor,SLI,100,0.000000,0.000000000000,0.000002773362,0.000002773362
Enfidha,Tunisia,Regular,Full Flavor,SLI,100,0.000000,0.000000000000,0.001302044695,0.001302044695
Enfidha,Tunisia,Menthol,Full Flavor,SLI,KS,0.000000,0.000000000000,0.000015401566,0.000015401566
Enfidha,Tunisia,Menthol Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000017755790,0.000017755790
Enfidha,Tunisia,Regular,Lights,STD,KS,25.200000,0.001925692714,0.160364231266,0.158438538552
Enfidha,Tunisia,NTD Caps,Full Flavor,STD,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Enfidha,Tunisia,Menthol Caps,Full Flavor,STD,KS,72.800000,0.005563112286,0.019403621448,0.013840509162
Enfidha,Tunisia,Menthol,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000002272907,0.000002272907
Enfidha,Tunisia,Menthol,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.000016413367,0.000016413367
Kristiansand,Norway,Regular,Lights,STD,100,0.000000,0.000000000000,0.016504011169,0.016504011169
Kristiansand,Norway,Regular,Full Flavor,SLI,KS,0.000000,0.000000000000,0.003330050307,0.003330050307
