DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,$theyearbefore Volume,$previous_year Volume,$current_year Volume,$theyearbefore Month,$previous_year Month,$current_year Month,$theyearbefore Revenue,$previous_year Revenue,$current_year Revenue
South Korea,Daegu,KT & G,THIS,96340,THIS - AFRICA RULA KS OCTAGONAL PACK C,200,2800,53800,56200,4,12,12,420,8070,8430
China,Taiyuan Wusu,IMPERIAL BRANDS,DAVIDOFF,47571,DAVIDOFF - LIGHTS KS BOX,200,0,0,23251,0,0,7,0,0,13950.6
Nicaragua,Managua,PMI,MARLBORO,125348,MARLBORO - (RED FWD) KS BOX 600 TRANSPARENT BUNDLE WHITE - LA&CANADA DF-ENG TXT,600,0,40800,0,0,7,0,0,4896,0
Morocco,Tangier,PMI,MARLBORO,125312,MARLBORO - BLOSSOM FUSION MENTHOL KS RCS C CHI WHITE - GENERIC DF-ENG TXT,200,0,38400,79800,0,5,12,0,7155.75,14763
Turkey,Samsun Airport,PMI,MARLBORO,125714,MARLBORO - RED 3.5 100's SOFT 400 TRANSPARENT BUNDLE - TURKEY DF,400,0,0,36400,0,0,10,0,0,4550
Turkey,Izmir Airport,JTI,STERLING,58605,STERLING - MENTHOL MENTHOL KS BOX,200,120600,68000,100200,12,12,12,19217,12665.17,21951.17
South Korea,Seoul,BAT,555,99306,555 - ORIGINAL KS RCB,200,1600,106000,83200,2,12,12,176,11660,9152
Saudi Arabia,RIYADH,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,600,1814400,2473200,2291400,12,10,10,0,765912.32,759428.9
Ivory Coast,Abidjan,JTI,CAMEL,45351,CAMEL - (BLUE) KS BOX,600,43200,34800,23400,12,9,3,0,3492608.03,2287563.04
Turkey,Antalya Gazipasa Airport,PMI,L&M,56639,L&M - BLUE LABEL KS RCB 400 - TURKEY DF,400,126000,127200,0,12,11,0,19598,20918,0
United Arab Emirates,Dubai,IMPERIAL BRANDS,DAVIDOFF,88458,DAVIDOFF - GOLD KS BOX,600,3045000,3835800,3587400,12,12,12,403833.64,533593.86,506531.96
Canary Islands,Fuerteventura,IMPERIAL BRANDS,RICHMOND,44637,RICHMOND - KS BOX,200,141600,156800,92200,12,12,12,22585.2,28309.34,19882.33
China,Qingdao Liuting,PMI,MARLBORO,105689,MARLBORO - (RED FWD) KS BOX - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,30501,379400,406800,10,12,12,19622.9816,275530,270525
Kosovo,PRISTINA,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,200,78800,45200,102000,6,5,10,6698,3842,8670
Guatemala,Guatemala City,PMI,MARLBORO,114396,MARLBORO - (GOLD 3.0) KS RCB 600 SPECIAL OUTER WHITE - LA&CANADA DF-ENG TXT,600,418200,550800,47400,9,12,1,48441.5,66096,5688
Greece,Heraklion Airport,PMI,MARLBORO,122411,MARLBORO - (RED FWD) KS BOX 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM GREECE,400,349600,176000,0,8,9,0,56810,34525,0
Ukraine,Kyiv - Zhulyany,JTI,LD,50139,LD - BLUE KS BOX,200,15600,0,0,2,0,0,468,0,0
Great Britain,Newcastle,JTI,STERLING,91239,STERLING - SUPERKINGS MENTHOL MENTHOL 100's BOX,200,81200,73400,0,12,12,0,20706,20635,0
Turkey,Istanbul Airport,IMPERIAL BRANDS,DAVIDOFF,45962,DAVIDOFF - GOLD 90's OCTAGONAL PACK,200,1040200,779200,0,12,9,0,180817.9,144159,0
