DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,$theyearbefore Volume,$previous_year Volume,$current_year Volume,$theyearbefore Month,$previous_year Month,$current_year Month,$theyearbefore Revenue,$previous_year Revenue,$current_year Revenue
Russia,Ufa,PMI,L&M,121964,L&M - DOUBLE FORWARD KS RCB C WHITE - RUSSIA DF - IDM RUSSIA,200,516,0,0,1,0,0,56.76,0,0
Portugal,Faro Airport,BAT,PALL MALL,51685,PALL MALL - (BLUE) KS BOX,200,200,0,0,1,0,0,37,0,0
Kyrgyzstan,Manas,BAT,KENT,106880,KENT - SPARK SILVER KS RCB,200,0,0,3800,0,0,6,0,0,283.29
Norway,Trondheim,BAT,PRINCE,90087,PRINCE - CLICK & BOOST KS BOX C,200,200,28400,90000,1,5,11,629,96418,316650
South Africa,Durban,BAT,KENT,47131,KENT - MENTHOL KS BOX,200,1200,0,0,2,0,0,,0,0
China,Pengsheng,PMI,MARLBORO,109529,MARLBORO - ICE BLAST MICRO MENTHOL 100's BOX C SUPERSLIMS WHITE - CHINA DF - IDM CN05 SHENZEN DF (SZ),200,0,0,180,0,0,1,0,0,198
Great Britain,London Southend Airport,PMI,MARLBORO,122753,MARLBORO - (RED FWD) KS RCB 600 SPECIAL OUTER - UNITED KINGDOM DF - IDM UNITED KINGDOM,600,0,0,6600,0,0,3,0,0,1485
Brazil,Recife,BAT,PALL MALL,51685,PALL MALL - (BLUE) KS BOX,200,1400,400,0,4,1,0,182,54,0
Iraq,Suleymania Airport,PMI,MARLBORO,124858,MARLBORO - (RED FWD) KS BOS - GENERIC DF-ENG TXT - ALTERNATIVE,200,550000,0,0,4,0,0,57750,0,0
Russia,Astrakhan,JTI,MONTE CARLO,44179,MONTE CARLO - KS BOX,200,10000,100000,0,2,6,0,225,2250,0
Dominican Republic,Punta Cana - Higuey,PMI,PHILIP MORRIS,58267,PHILIP MORRIS - KS BOX - NORTH AFRICA DF,200,0,0,200,0,0,1,0,0,42
Ukraine,Lviv,IMPERIAL BRANDS,DAVIDOFF,43247,DAVIDOFF - CLASSIC 90's OCTAGONAL PACK,200,103818,0,0,2,0,0,12977.25,0,0
Brazil,Brasilia,BAT,KENT,107236,KENT - SURROUND (SILVER) KS RCB,600,0,0,1200,0,0,2,0,0,153
China,Nanjing Lukou,PMI,MARLBORO,121396,MARLBORO - DOUBLE BURST (2.0) MENTHOL KS BOX C WHITE - CHINA DF - CNSC(ZF),200,0,0,202200,0,0,5,0,0,181980
Dominican Republic,Santo Domingo Las Americas,PMI,L&M,123640,L&M - RED LABEL (5.0 CWB) KS RCB 400 - GENERIC DF-ENG TXT,400,0,0,14400,0,0,2,0,0,2610.32
Morocco,Rabat,BAT,SILK CUT,51403,SILK CUT - (PURPLE) KS BOX,600,2285,0,0,1,0,0,334.524,0,0
Turkey,Diyarbakir Airport,BAT,PRINCE,51120,PRINCE - RICH TASTE KS BOX,200,0,200,0,0,1,0,0,23,0
Ukraine,Lviv,JTI,CAMEL,88440,CAMEL - FILTER KS BOX,200,87115,0,0,2,0,0,9582.65,0,0
Aruba,Oranjestad,BAT,DUNHILL,103540,DUNHILL - SWITCH (GREEN) KS OCTAGONAL PACK C,200,1400,0,0,2,0,0,287,0,0
Malaysia,Kuala Lumpur,PMI,CHESTERFIELD,115312,CHESTERFIELD - FILTER (BLUE 4.0) KS BOS WHITE - MALAYSIA DF,200,0,528200,866800,0,10,12,0,244485,403439
China,Nanning Wuxu,KARELIA TOBACCO,KARELIA,45913,KARELIA - LIGHTS MENTHOL 100's BOX SLIMS,200,0,773,2857,0,11,11,0,0,0
Japan,Hiroshima,PMI,MARLBORO,114605,MARLBORO - MENTHOL 8 MENTHOL KS BOX WHITE - JAPAN DF,200,0,13800,31200,0,10,12,0,294630,666120
Taiwan,Kaohsiung,PMI,L&M,148706,L&M - GREEN LABEL (5.0 CWB) MENTHOL KS RCB WHITE - TAIWAN DF,200,0,0,31192,0,0,5,0,0,103319.1695
Kyrgyzstan,Manas,PMI,L&M,139321,L&M - BLUE LABEL (5.0 CWB) KS RCB WHITE - GENERIC DF-ENG TXT - ALTERNATIVE,200,0,0,80000,0,0,12,0,0,4400
China,Sanya Fenghuang,CHINA NATIONAL,DOUBLE HAPPINESS,52061,DOUBLE HAPPINESS - (RED-GOLD) KS BOX,200,0,36056,12710,0,6,2,0,13521,4766.25
Turkey,Eskisehir Airport,PMI,L&M,57069,L&M - RED LABEL 100's SOFT 600 - TURKEY DF,600,0,0,1200,0,0,1,0,0,123
Great Britain,Leeds Bradford,JTI,STERLING,44904,STERLING - KS BOX,600,0,15600,50400,0,4,11,0,3172,10483.94
China,Nanchang Changbei,CHINA NATIONAL,FURONGWANG,52080,FURONGWANG - (BLUE) KS SOFT,200,0,8683,2807,0,9,7,0,19970.9,6456.1
Malaysia,Penang,PMI,MARLBORO,122719,MARLBORO - GOLD (3.5) KS BOS WHITE - MALAYSIA DF,200,0,246200,219600,0,12,12,0,143705,129897
Poland,Krakow Balice,JTI,STERLING,61077,STERLING - SUPERKINGS (RED) 100's BOX,200,37000,500400,0,1,9,0,20673.75,397529.91,0
Turkey,Antalya Gazipasa Airport,PMI,MARLBORO,125310,MARLBORO - BLOSSOM FUSION MENTHOL KS RCB C CHI WHITE - TURKEY DF,200,0,16000,43200,0,7,9,0,3752,10346.4
Vietnam,Hanoi,Undefined,.COM,40100,.COM,200,0,1189157,1391927,0,6,12,0,0,0
Morocco,Casablanca,PMI,L&M,123648,L&M - DOUBLE FORWARD MENTHOL KS RCB WHITE - GENERIC DF-ENG TXT,200,0,348200,346800,0,9,8,0,41062.2,37126
Brazil,Rio de Janeiro,BAT,VOGUE,70512,VOGUE - LILAS 100's L-STICK BOX SUPERSLIMS,200,0,7000,63000,0,2,7,0,1050,9450
Turkey,Istanbul Asia Airport,PMI,MARLBORO,125311,MARLBORO - BLOSSOM FUSION MENTHOL KS RCB 600 C CHI SPECIAL OUTER WHITE - TURKEY DF,600,0,480600,568800,0,12,12,0,80066,98653
Saudi Arabia,Jeddah,PMI,MARLBORO,141728,MARLBORO - DOUBLE MIX MENTHOL KS RCS C JUMBO RC WHITE - GENERIC DF-ENG TXT - SAUDI ARABIA,200,0,0,610600,0,0,4,0,0,403335.73
Turkey,Bodrum Airport,PMI,PARLIAMENT,70910,PARLIAMENT - NIGHT BLUE 100's SOFT 400 TRANSPARENT BUNDLE WHITE - TURKEY DF,400,0,0,42400,0,0,7,0,0,8999.4
China,Shanghai Hongqiao,PMI,MARLBORO,122865,MARLBORO - SILVER BLUE (3.5) KS RCB WHITE - CHINA DF - IDM CN05 SUNRISE DF (RS),200,0,21670,193284,0,1,12,0,16685.9,158135.52
Dominican Republic,Santo Domingo Las Americas,PMI,MARLBORO,125084,MARLBORO - DOUBLE FUSION MENTHOL KS BOX C TRU WHITE - GENERIC DF-ENG TXT,200,0,101000,176400,0,7,12,0,23735,41837.58
China,Shanghai Pudong,PMI,MARLBORO,125151,MARLBORO - TROPICAL SPLASH MENTHOL KS BOX C MUL WHITE - CHINA DF - IDM CN05 ZHUHAI DF (ZH),200,0,1066670,0,0,1,0,0,934082.919,0
India,Trichy,BAT,UNDEFINED,0,UNDEFINED,0,23439,28808,0,3,2,0,0,0,0
South Korea,Cheongju,JTI,MEVIUS,94993,MEVIUS - SUPER LIGHTS KS RCB,200,0,100000,16000,0,2,2,0,14500,2320
India,Netaji Subhash Chandra Bose Int. Airport,PMI,MARLBORO,123514,MARLBORO - WHITE (3.5) KS RCS WHITE - GENERIC DF-ENG TXT,200,0,989,0,0,1,0,0,168.13,0
China,Jieyang Chaoshan,NANYANG BROTHERS,DOUBLE HAPPINESS,103412,DOUBLE HAPPINESS - DELUXE (RED) KS BOX,200,0,430,0,0,1,0,0,301,0
Spain,Valencia,BAT,BENSON & HEDGES,42858,BENSON & HEDGES - SILVER KS BOX,200,0,3800,98400,0,1,12,0,1085.85,32542.98
Turkey,Bodrum Airport,JTI,WINSTON,45199,WINSTON - ONE KS BOX,200,0,0,3000,0,0,6,0,0,592.82
Turkey,Istanbul Asia Airport,JTI,STERLING,99392,STERLING - DUAL KS BOX C,400,0,47600,58800,0,7,12,0,7973,10824
Mexico,La Paz Manuel Marquez de Leon,PMI,MARLBORO,139307,MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - GENERIC DF-ENG TXT - ALTERNATIVE,600,0,25200,88800,0,5,12,0,3843,14452.5
China,Shenzhen Bao'an,PMI,MARLBORO,122576,MARLBORO - SPLASH MEGA MENTHOL KS BOX C BEH WHITE - CHINA DF - IDM CN05 SHENZEN DF (SZ),200,0,200,0,0,1,0,0,250,0
Turkey,Cukurova Airport,JTI,WINSTON,121580,WINSTON - EXPAND DUO KS BOX C,200,0,0,1200,0,0,3,0,0,252
Turkey,Ankara Airport,JTI,WINSTON,54250,WINSTON - SUPER LIGHTS 100's BOX SUPERSLIMS,600,0,0,7200,0,0,5,0,0,954
Greece,Aktio,IMPERIAL BRANDS,LAMBERT & BUTLER,43914,LAMBERT & BUTLER - LIGHTS KS BOX,400,0,0,110400,0,0,5,0,0,20865.6
Egypt,Luxor,PMI,PARLIAMENT,98128,PARLIAMENT - NIGHT BLUE KS RCB 200 JUMBO RC WHITE - EG05 NEW TEXT HW DF - BASE PRODUCT DF,200,1600,0,0,2,0,0,262.11,0,0
Egypt,Asyut,PMI,MARLBORO,142119,MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT - ALTERNATIVE,400,0,0,149697,0,0,10,0,0,21170.6592
Spain,Vigo,PMI,MARLBORO,122496,MARLBORO - GOLD (3.5) KS RCB - SPAIN DF - IDM SPAIN,200,0,0,20800,0,0,8,0,0,5250
China,Yinchuan Hedong,JTI,WINSTON,45182,WINSTON - KS BOX,200,0,1483,4280,0,6,7,0,889.8,2568
Turkey,Adana Airport,PMI,MURATTI,92696,MURATTI - SUPER SLIMS (BLUE) 100's BOX SUPERSLIMS WHITE - TURKEY DF,200,200,1400,0,1,4,0,13.78,182,0
Turkey,Kutahya Airport,BAT,LUCKY STRIKE,43972,LUCKY STRIKE - KS BOX,200,0,1400,600,0,2,2,0,280,126.67
Ukraine,Kyiv - Zhulyany,PMI,MARLBORO,121429,MARLBORO - GOLD EDGE KS BOX SUPERSLIMS DCV WHITE - GEORGIA DF,200,30600,0,0,2,0,0,4437,0,0
Japan,Hiroshima,PMI,MARLBORO,125146,MARLBORO - TROPICAL SPLASH MENTHOL KS BOX C MUL WHITE - JAPAN DF,200,0,0,14400,0,0,7,0,0,314640
Greece,Alexandoupolis,JTI,WINSTON,56993,WINSTON - (RED) KS BOX,200,0,0,10200,0,0,4,0,0,1887
Turkey,Denizli Cardak Airport,PMI,PARLIAMENT,85805,PARLIAMENT - AQUA BLUE KS RCB WHITE - TURKEY DF,400,0,0,400,0,0,1,0,0,36
Caribbean Other,Antigua,PMI,MARLBORO,99921,MARLBORO - WHITE MINT (2.0) MENTHOL KS BOX ORH WHITE - LA&CANADA DF-ENG TXT,200,0,9944,0,0,2,0,0,1690.48,0
Greece,Santorini,JTI,WINSTON,56993,WINSTON - (RED) KS BOX,200,0,0,27000,0,0,4,0,0,4995
Spain,Valencia,KING'S TOBACCO,THE KING,56651,THE KING - GOLD KS BOX,200,0,0,4600,0,0,4,0,0,917.7
Morocco,Tangier,JTI,NATURAL AMERICAN SPIRIT,54462,NATURAL AMERICAN SPIRIT - (YELLOW) KS BOX,200,158,0,0,1,0,0,22.3491,0,0
Italy,Venice,BAT,LUCKY STRIKE,100316,LUCKY STRIKE - FLOW FILTER (GOLD) KS RCB,200,0,0,200,0,0,1,0,0,39.9
Kenya,Moi,PMI,MARLBORO,114699,MARLBORO - (GOLD 3.0) KS RCB 400 - AFRICA DF-ENG TXT,400,38400,0,0,1,0,0,4560,0,0
Russia,Ekaterinburg,IMPERIAL BRANDS,DAVIDOFF,51742,DAVIDOFF - GOLD 100's OCTAGONAL PACK SLIMS,200,400,0,0,1,0,0,56,0,0
Ukraine,Kyiv - Zhulyany,IMPERIAL BRANDS,GOLDEN GATE,64408,GOLDEN GATE - RED KS BOX,200,99600,0,0,2,0,0,4482,0,0
Tanzania,Zanzibar,PMI,MARLBORO,125698,MARLBORO - RED 3.5 KS BOX - SOUTH AFRICA DF,200,0,0,200000,0,0,1,0,0,27000
China,Jieyang Chaoshan,JTI,CASTER,46127,CASTER - MILD KS BOX,200,0,112,0,0,1,0,0,61.6,0
Caribbean Other,Providenciales (Turks and Caicos),BAT,UNDEFINED,0,UNDEFINED,0,20000,0,0,1,0,0,0,0,0
Lebanon,Beirut - Rafik Hariri,PMI,MARLBORO,122117,MARLBORO - (RED FWD) KS BOS JUMBO - LEBANON DF - IDM LEBANON,200,423600,0,0,5,0,0,48015.06,0,0
Kazakhstan,Astana,BAT,VOGUE,51105,VOGUE - BLEUE 100's BOX SUPERSLIMS,400,800,0,0,1,0,0,52,0,0
Turkey,Eskisehir Airport,BAT,PALL MALL,56918,PALL MALL - (RED) KS RCB,600,0,0,600,0,0,1,0,0,61.5
Morocco,Casablanca,IMPERIAL BRANDS,LAMBERT & BUTLER,43914,LAMBERT & BUTLER - LIGHTS KS BOX,200,0,200,0,0,1,0,0,26.39,0
China,Jieyang Chaoshan,CHINA NATIONAL,UNDEFINED,0,UNDEFINED,200,0,322,0,0,1,0,0,600.53,0
Senegal,Leopold Sedar Senghar,IMPERIAL BRANDS,GITANES,46436,GITANES - KS BOX,200,200,0,0,1,0,0,,0,0
Brazil,Recife,PMI,L&M,106600,L&M - BLUE LABEL KS RCB 400 WHITE - LA&CANADA DF-ENG TXT,400,2000,0,0,1,0,0,240,0,0
Argentina,Buenos Aires - Ezeiza,BAT,KENT,92352,KENT - HD SILVER KS RCB,200,1000,0,0,1,0,0,135,0,0
Paraguay,Asuncion Silvio Petterossi,PMI,MARLBORO,104440,MARLBORO - (RED FWD) KS BOX TRANSPARENT BUNDLE WHITE - LA&CANADA DF-ENG TXT,200,0,0,49998,0,0,6,0,0,5999.76
Ukraine,Kyiv - Zhulyany,IMPERIAL BRANDS,GOLDEN GATE,52851,GOLDEN GATE - (BLUE) KS BOX,200,143200,0,0,2,0,0,6444,0,0
Morocco,Casablanca,BAT,LUCKY STRIKE,103220,LUCKY STRIKE - CLICK 4 MIX KS BOX C,200,106,0,0,1,0,0,15.37,0,0
Russia,Rostov Don,JTI,SOBRANIE,61161,SOBRANIE - BLACK KS OCTAGONAL PACK,200,1400,0,0,4,0,0,182,0,0
Albania,Tirana,BAT,KENT,70530,KENT - NANOTEK 2.0 WHITE KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,200,0,65400,22400,0,6,1,0,7263.14,2057.44
Tunisia,Jerba,BAT,VOGUE,50570,VOGUE - MENTHE MENTHOL 100's BOX SLIMS,200,0,0,109800,0,0,4,0,0,21581.26
Italy,Palermo,PMI,MARLBORO,122502,MARLBORO - SILVER BLUE (3.5) KS RCB WHITE - ITALY DF - IDM ITALY,200,0,25200,34000,0,9,12,0,6172,8576.5
Turkey,Samsun Airport,IMPERIAL BRANDS,DAVIDOFF,52524,DAVIDOFF - (WHITE) 90's OCTAGONAL PACK,400,0,2000,800,0,4,2,0,250,100
Italy,Milan - Linate,IMPERIAL BRANDS,LAMBERT & BUTLER,45980,LAMBERT & BUTLER - WHITE KS BOX,200,0,83600,86400,0,12,12,0,19774.52,20736
Turkey,Cukurova Airport,BAT,LUCKY STRIKE,43972,LUCKY STRIKE - KS BOX,200,0,0,5400,0,0,5,0,0,1184.32
China,Xuzhou Guanyin,JTI,WINSTON,45182,WINSTON - KS BOX,200,0,160,566,0,3,6,0,96,339.6
China,Sanya Fenghuang,JTI,MEVIUS,91512,MEVIUS - OPTION KS RCB C,200,0,4613,5830,0,6,2,0,3805.725,4809.75
Kenya,Mombasa,PMI,L&M,123645,L&M - RED LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT,200,0,36600,0,0,9,0,0,3111,0
Austria,Salzburg,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,200,0,12400,7400,0,4,7,0,2751.8,1735.3
Tunisia,Tunis,PMI,MARLBORO,139320,MARLBORO - TOUCH 3.5 KS RCS SLIMS WHITE - GENERIC DF-ENG TXT - ALTERNATIVE,200,0,0,819600,0,0,11,0,0,171418.28
Turkey,Antalya Airport,BAT,KENT,43815,KENT - KS BOX,200,0,0,48400,0,0,7,0,0,10769
India,Hyderabad,PMI,MARLBORO,113605,MARLBORO - WHITE (3.0) KS RCB WHITE - JORDAN DF,200,19989,0,0,1,0,0,3398.13,0,0
Cambodia,Sihanoukville,PMI,MARLBORO,122703,MARLBORO - GOLD (3.5) KS RCB 400 SPECIAL OUTER WHITE - INDOCHINA DF,400,0,1200,7200,0,3,8,0,171,1053.06
Greece,Mitilini,PMI,MARLBORO,124701,MARLBORO - FINE TOUCH 3.5 KS RCT SLIMS WHITE - ENGLISH GHW TPD2 DF - IDM GREECE,200,0,0,8600,0,0,5,0,0,1634
Japan,Osaka - Kansai,CHINA NATIONAL,JINSHENG,115775,JINSHENG - BOX KS BOX,200,0,0,14400,0,0,2,0,0,381697.6
South Korea,Cheongju,KT & G,THIS,46910,THIS - PLUS KS BOX,200,0,208800,351000,0,12,11,0,28188,47385
Spain,Ibiza,IMPERIAL BRANDS,LAMBERT & BUTLER,96896,LAMBERT & BUTLER - BLUE KS BOX,200,0,173000,192400,0,4,7,0,44763.75,55281.95
Brazil,Natal,BAT,LUCKY STRIKE,127567,LUCKY STRIKE - AMBER KS BOX C,200,0,0,400,0,0,2,0,0,56
Kosovo,PRISTINA,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,600,0,0,933000,0,0,5,0,0,15111
China,Dalian Zhoushuizi,NANYANG BROTHERS,DOUBLE HAPPINESS,58266,DOUBLE HAPPINESS - SUPER MILD KS BOX,200,0,7220,28770,0,2,5,0,7183.9,28626.15
China,Shandong,IMPERIAL BRANDS,DAVIDOFF,47571,DAVIDOFF - LIGHTS KS BOX,200,0,16,0,0,4,0,0,9.6,0
Kazakhstan,Astana,IMPERIAL BRANDS,GAULOISES,45969,GAULOISES - BLONDES (BLUE) KS BOX,200,600,0,0,1,0,0,60,0,0
Germany,Bremen,BAT,PALL MALL,45999,PALL MALL - BLUE KS BOX,20,0,360,0,0,1,0,0,102.42,0
India,Cochin,PMI,L&M,95907,L&M - BLUE LABEL KS RCB WHITE - SOUTH ASIA DF,200,40000,0,0,1,0,0,420000,0,0
France,Bordeaux,IMPERIAL BRANDS,SUPERKINGS,70127,SUPERKINGS - BLACK 100's BOX,200,200,17400,15400,1,11,11,54.5,5280.2,5425.8
Tunisia,Enfidha,JTI,WINSTON,88433,WINSTON - (BLUE) KS RCB,600,0,0,14400,0,0,1,0,0,2301.6
Germany,Dresden,BAT,PALL MALL,53263,PALL MALL - (RED) KS BOX,200,0,20000,10000,0,2,1,0,5158.5,2963.5
Great Britain,Exeter,JTI,STERLING,99392,STERLING - DUAL KS BOX C,600,4800,0,0,5,0,0,864,0,0
Central Africa,Bangui,PMI,MARLBORO,123661,MARLBORO - GOLD (3.5) KS RCB - SOUTH AFRICA DF,200,0,0,150000,0,0,1,0,0,
Australia,Cairns,BAT,UNDEFINED,0,UNDEFINED,0,0,16224,2828,0,2,1,0,0,0
India,Indira Gandhi,Undefined,UNDEFINED,0,UNDEFINED,0,194228,0,0,1,0,0,0,0,0
Turkey,Ankara Airport,PMI,L&M,122594,L&M - RED LABEL (5.0 CWB) 100's SOFT 600 TRANSPARENT BUNDLE - TURKEY DF,600,0,0,3000,0,0,1,0,0,409.5
Bulgaria,Sofia,IMPERIAL BRANDS,DAVIDOFF,70865,DAVIDOFF - (WHITE) KS BOX,200,0,0,600,0,0,2,0,0,88.2
Japan,Chubu,BAT,STATE EXPRESS 555,56499,STATE EXPRESS 555 - GOLD KS RCB,200,6600,92800,165600,1,12,11,102300,1438400,2566800
United Arab Emirates,Sharjah,BAT,DUNHILL,49364,DUNHILL - (BLUE) KS BOX,600,0,0,62400,0,0,3,0,0,33696
Ethiopia,Addis Ababa,BAT,KENT,70532,KENT - NANOTEK 2.0 SILVER KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,200,0,0,6600,0,0,1,0,0,
Turkey,Diyarbakir Airport,KARELIA TOBACCO,KARELIA,53026,KARELIA - SLIMS (BLUE) 100's BOX SUPERSLIMS,600,0,600,0,0,1,0,0,30,0
Mexico,Cozumel,BAT,DU MAURIER,70093,DU MAURIER - SIGNATURE KS OCTAGONAL PACK,200,400,0,0,1,0,0,112,0,0
Chile,Santiago Arturo Merino Benitez,PMI,MARLBORO,114359,MARLBORO - (GOLD 3.0) KS RCB WHITE - LA&CANADA DF-ENG TXT,200,1200,263400,0,1,7,0,222,51400,0
Ukraine,Odessa,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,400,48800,0,0,1,0,0,3538,0,0
Saudi Arabia,Jeddah,JTI,NATURAL AMERICAN SPIRIT,54054,NATURAL AMERICAN SPIRIT - (BLUE) KS BOX,200,0,0,10000,0,0,1,0,0,1246.9
Turkey,Samsun Airport,JTI,WINSTON,114497,WINSTON - EXPAND PURPLE MINT KS BOX C,600,0,0,600,0,0,1,0,0,64.52
Mexico,La Paz Manuel Marquez de Leon,PMI,MARLBORO,125840,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - GENERIC DF-ENG TXT,600,0,48600,123600,0,5,12,0,7411.5,20224.5
Turkey,Eskisehir Airport,BAT,KENT,101267,KENT - MIX AROMA KS RCB C,200,0,0,2400,0,0,2,0,0,390
Brazil,Sao Paulo - Guarulhos,PMI,MARLBORO,139305,MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,0,490400,1159000,0,5,12,0,73560,182868
Morocco,Casablanca,PMI,MARLBORO,123409,MARLBORO - DOUBLE ICE KS RCS C JUMBO RC WHITE - GENERIC DF-ENG TXT,200,0,0,104000,0,0,5,0,0,19040
Brazil,Salvador,PMI,MARLBORO,125837,MARLBORO - RED 3.5 KS BOX - GENERIC DF-ENG TXT,200,0,20800,58400,0,9,12,0,3120,9222
Jamaica,Montego Bay,PMI,MARLBORO,125840,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - GENERIC DF-ENG TXT,600,0,193200,445800,0,5,12,0,33488,77684.64
Great Britain,Liverpool,JTI,SOVEREIGN,44887,SOVEREIGN - KS BOX,400,0,7600,33200,0,5,11,0,1564,6661
Taiwan,Taichung,IMPERIAL BRANDS,P&S,70941,P&S - BLUE KS BOX,200,0,103689,203107,0,12,12,0,300430.35,599165.65
Poland,Wroclaw,PMI,CHESTERFIELD,144363,CHESTERFIELD - ORIGINAL (4.0) KS BOX - ENGLISH GHW TPD2 DF - IDM POLAND,200,0,400,175400,0,1,12,0,258,118395
Greece,Alexandoupolis,PMI,MARLBORO,124701,MARLBORO - FINE TOUCH 3.5 KS RCT SLIMS WHITE - ENGLISH GHW TPD2 DF - IDM GREECE,200,0,0,69200,0,0,8,0,0,13194
Myanmar,Yangon,Undefined,UNDEFINED,0,UNDEFINED,200,0,27052,0,0,10,0,0,1236.06,0
China,Xuzhou Guanyin,BAT,LUCKY STRIKE,57677,LUCKY STRIKE - ORIGINAL SILVER (BLUE) KS BOX,200,0,50,195,0,3,6,0,30,117
Japan,Fukuoka,JTI,CAMEL,131411,CAMEL - CRAFT 6 KS BOX,200,0,25200,137800,0,2,12,0,390599.49,2694962.42
Greece,Alexandoupolis,IMPERIAL BRANDS,DAVIDOFF,70865,DAVIDOFF - (WHITE) KS BOX,200,0,9000,5800,0,7,7,0,1552.5,1229.02
Kuwait,Kuwait,JTI,WINSTON,121580,WINSTON - EXPAND DUO KS BOX C,400,0,64000,131200,0,10,12,0,5938.77,13147.49
Canary Islands,Gran Canaria,PMI,L&M,123309,L&M - RED LABEL (5.0 CWB) KS RCB - CANARY ISLANDS DF - IDM SPAIN DUFRY,200,817800,0,0,3,0,0,128803.5,0,0
Mexico,Puerto Vallarta,BAT,NEWPORT,44309,NEWPORT - MENTHOL KS BOX,400,0,0,161600,0,0,10,0,0,34340
Greece,Santorini,PMI,MARLBORO,125450,MARLBORO - RED 3.5 KS BOX - ENGLISH GHW TPD2 DF - IDM GREECE,200,0,0,63800,0,0,8,0,0,13681.89
Armenia,Yerevan,KARELIA TOBACCO,OME,57353,OME - (YELLOW) 100's L-STICK BOX SUPERSLIMS,200,0,36000,0,0,5,0,0,2086840.16,0
China,Nanchang Changbei,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,200,0,492,157,0,9,7,0,226.32,72.22
Guatemala,Guatemala City,PMI,MARLBORO,125841,MARLBORO - RED 3.5 KS BOX 400 - GENERIC DF-ENG TXT,400,0,0,345200,0,0,12,0,0,46602
China,Shenyang Taoxian,PMI,MARLBORO,110716,MARLBORO - PURPLE MENTHOL KS BOX C TRU WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,0,133000,93000,0,9,8,0,126111,83505
China,Harbin Taiping,IMPERIAL BRANDS,DAVIDOFF,47571,DAVIDOFF - LIGHTS KS BOX,200,0,3540,500,0,7,1,0,2124,300
China,Changzhou Benniu,JTI,MILD SEVEN,45709,MILD SEVEN - INTERNATIONAL KS BOX,200,0,90790,0,0,9,0,0,61283.25,0
China,Jinan Xiaoqiang,BAT,DUNHILL,50854,DUNHILL - (RED) KS BOX,200,0,3667,6974,0,11,12,0,2108.525,4010.05
Germany,Cologne,BAT,PRINCE,51120,PRINCE - RICH TASTE KS BOX,200,0,2200,7000,0,4,9,0,693,2205
Portugal,Lisbon,IMPERIAL BRANDS,LAMBERT & BUTLER,45980,LAMBERT & BUTLER - WHITE KS BOX,400,0,112000,229600,0,6,12,0,27720,56826
Portugal,Faro Airport,IMPERIAL BRANDS,SUPERKINGS,70127,SUPERKINGS - BLACK 100's BOX,400,0,0,348000,0,0,10,0,0,86130
Japan,Tokyo - Narita,JTI,MEVIUS,121611,MEVIUS - PREMEN OPTION MUSCAT GREEN 1 MENTHOL 100's D-SHAPE PACK (FRONT RCB) C SUPERSLIMS,100,0,0,256900,0,0,9,0,0,4898342.31
Germany,Cologne,IMPERIAL BRANDS,WEST,46023,WEST - RED KS BOX,200,0,22600,60600,0,6,10,0,6328,16968
China,Shandong,JTI,MEVIUS,89726,MEVIUS - SKY BLUE KS RCB,200,0,1388,0,0,4,0,0,867.5,0
Brazil,Recife,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,200,0,0,2800,0,0,6,0,0,378
South Korea,Yangyang,PMI,PARLIAMENT,121989,PARLIAMENT - AQUA BLUE 100's RCB WHITE - KOREA DF - IDM KOREA,200,0,400,0,0,1,0,0,60,0
Tunisia,Jerba,BAT,KENT,70640,KENT - NANOTEK 2.0 (WHITE) KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,400,0,3200,2000,0,3,3,0,561.81,325.47
Turkey,Denizli Cardak Airport,EUROPEAN TOBACCO,HD,53459,HD - (BLUE) 100's BOX SLIMS,200,0,0,2000,0,0,2,0,0,
Bahrain,Manama,BAT,DUNHILL,47577,DUNHILL - INTERNATIONAL KS BOX,400,0,117600,160400,0,12,12,0,11298.97,15409.24
Norway,Stavanger,BAT,PRINCE,51463,PRINCE - RICH TASTE 100's BOX,100,0,48000,116500,0,5,11,0,162960,409241.22
Brazil,Florianopolis,PMI,CHESTERFIELD,124032,CHESTERFIELD - ORIGINAL (4.0) KS BOX - GENERIC DF-ENG TXT,200,0,1600,9000,0,3,12,0,224,1315
Morocco,Tangier,PMI,MARLBORO,147065,MARLBORO - GOLD (3.5) KS RCB (PROMO) - GENERIC DF-ENG TXT,200,0,0,20000,0,0,3,0,0,3400
