DF_Market,Location,CR_BrandId,$theyearbefore NOR,$previous_year NOR,$current_year NOR,$theyearbefore MC,$previous_year MC,$current_year MC
Turkey,Ankara Airport,123820,0,10943.128403128,18094.090723944,0,8894.704403128,15088.181723944
Jordan,Amman,122132,0,711784.022,0,0,563842.527,0
South Africa,Cape Town,93787,5256.517387492,0,0,4020.277387492,0,0
Brazil,Viracopos,107418,0,316.598,0,0,246.147,0
Mexico,Los Cabos,125056,0,0,3316.246,0,0,2667.366
China,Nanning Wuxu,151533,0,0,2477.98,0,0,1921.385
Kazakhstan,Shymkent,98669,735.310598731,785.149222507,0,630.922598731,660.979222507,0
Greece,Corfu,120925,11955.871061648,9452.88668146,649.431285467,10131.811061648,6792.58468146,469.084285467
Guatemala,Guatemala City,90249,413.6,40.8,0,346.94,34.025,0
Ukraine,Kyiv - Zhulyany,122627,9615.136220154,0,0,6400.306220154,0,0
Guatemala,Guatemala City,123648,0,0,0,0,0,0
Bangladesh,Zia,70887,547.08,0,0,481.228,0,0
Turkey,Samsun Airport,122870,0,0,2618.160509083,0,0,2128.801509083
Turkey,Ankara Airport,144240,0,0,1909.992642313,0,0,1633.289642313
India,Mangalore,123515,0,0,7150.911,0,0,6251.951
Indonesia,Ngurah Rai,122422,0,7540.085,0,0,6538.176,0
Colombia,Medellin Jose Maria Cordova,125347,0,4051.82,0,0,3153.209,0
Jordan,Aqaba,114907,0,0,0,0,0,0
Tunisia,Tunis,114700,0,120144.598125299,0,0,88536.333125299,0
Kenya,Mombasa,98236,0,2382.73,0,0,1954.528,0
China,Wuhan Tianhe,125150,0,235.529,0,0,186.989,0
Turkey,Adana Airport,123834,0,0,79.589080023,0,0,64.521080023
Turkey,Samsun Airport,123818,0,1027.063657064,0,0,878.427657064,0
Canary Islands,La Palma,123344,12165.939410476,0,0,11021.947410476,0,0
Mexico,Cozumel,147386,0,0,276.623,0,0,236.461
Japan,Fukushima,138184,0,0,14.54104,0,0,12.69604
Kenya,Moi,114699,3893.76,0,0,3225.676,0,0
South Sudan,Juba,,0,-31767,0,0,-31767,0
China,Wenzhou Longwan,124464,0,51.271,0,0,40.706,0
Dominican Republic,Santo Domingo Las Americas,102974,0,0,0,0,0,0
China,Chongqing Jiangbei,113951,0,0,0,0,0,0
China,Xiamen Gaoqi,122805,0,126.519,0,0,84.218,0
Mexico,Cozumel,123640,0,0,20.46,0,0,16.966
Egypt,Marsa Aalam,123024,0,18172.283,40095.047,0,10692.081,22851.083
Kenya,Jomo Kenyatta,123518,135434.74,248749.859,733679.137,125952.829,202210.664,574107.183
Dominican Republic,Puerto Plata,125074,0,5536.167,53592.285,0,4547.641,44074.595
Turkey,Antalya Airport,137664,0,155606.095937626,638279.364247384,0,127566.411937626,523093.967247384
Egypt,Aswan,122897,0,2185.552,41801.711,0,1888.248,36302.721
Spain DP,Palma De Mallorca,123084,26050.652938273,123470.9912532,429889.100973101,21814.240938273,83223.9092532,303028.089973101
United Arab Emirates,Dubai,122907,350210.342,690961.83,3296322.84,305984.462,597021.967,2890359.616
Poland,Krakow Balice,124289,456869.169461324,1423379.29947895,7931897.93121317,380980.378461324,1162466.25947895,6727748.86321317
Turkey,Istanbul Airport,56639,93778.541241889,126255.191242131,0,75186.461241889,98817.378242131,0
Mexico,Los Cabos,139305,0,14869.518,360720.013,0,12610.927,307292.664
Malaysia,Kuala Lumpur,123655,0,77034.697,408192.394,0,44284.866,131976.04
China,Xiamen Gaoqi,109526,2886.396,21751.774,145955.959,2617.564,15739.253,102118.443
Germany,Frankfurt,123063,0,1204538.44940649,3236069.83893885,0,1067834.59840649,2863926.49593885
Germany,Hannover,124240,8219.196166348,17985.389325258,92841.823566136,7067.796166348,15433.626325258,80975.438566136
Dominican Republic,Punta Cana - Higuey,95487,54677.012,225856.155,279801.948,47679.538,194723.053,241712.589
India,Hyderabad,113637,35781.176,358171.899,882237.079,31273.842,308244.698,757739.589
Saudi Arabia,Medina,125069,0,66054.353205782,1108573.02404303,0,58717.483205782,987882.394043028
Cape Verde,Espargos,142119,0,10692.867,893098.423,0,7290.522,678770.199
France DP,Marseille,122776,0,410.725266762,1559.984681508,0,359.103266762,1158.429681508
France DP,Toulouse,122766,-10300.259945328,3617.685002836,7277.836751144,-10528.171945328,2353.836002836,5294.464751144
Morocco,Ouarzazate,108146,0,0,2496.442136888,0,0,2097.536136888
El Salvador,San Salvador Comalapa,114360,44405.23,131515.456,61676.12,36228.952,104429.523,49075.549
Turkey,Antalya Airport,107958,73085.580679678,280833.243488738,471160.077630233,67613.995679678,227717.180488738,412825.356630233
Morocco,Casablanca,123438,599.641458453,325253.9088762,341863.981706639,509.171458453,266638.5028762,282312.865706639
Morocco,Casablanca,123640,32897.743352238,96059.473050014,556361.99417466,29398.093352238,73596.075050014,434087.00317466
Jamaica,Montego Bay,122806,0,0,22471.694,0,0,18501.258
Turkey,Cukurova Airport,124808,0,0,166.849076849,0,0,140.904076849
Turkey,Diyarbakir Airport,118939,2223.372750138,4188.199081667,34511.352041,1816.260750138,3326.023081667,27556.591041
Turkey,Antalya Gazipasa Airport,125713,0,984.82620835,247094.373452838,0,858.77220835,216417.848452838
Paraguay,Asuncion Silvio Petterossi,125840,0,0,38408.862,0,0,29168.964
Gabon,Gabon,98236,15866.229470412,41846.516457374,20121.383937389,12930.241470412,33742.329457374,16509.603937389
India,Cochin,142591,0,0,73009.414,0,0,64034.042
France DP,Nice,121221,-1320.864745274,626.782411262,1452.600110974,-1349.283745274,425.749411262,1088.513110974
Reunion,Roland Garros,121898,95482.50608853,287905.986145021,1085236.01433336,78188.51408853,236745.922145021,918949.323333356
Great Britain,Birmingham,125413,0,198.882560728,0,0,175.490560728,0
Italy,Florence,125830,0,1169.956158683,0,0,870.265158683,0
Canary Islands,Fuerteventura,124963,59431.302029559,197898.018919031,493710.478801359,55142.694029559,163423.770919031,417845.495801359
Greece,Rhodes,121895,1988.985327292,1152.635569443,11104.371611829,1604.211327292,727.817569443,7298.996611829
Macedonia,Ohrid,99016,1943.625021479,3263.489692242,0,1641.735021479,2712.493692242,0
Turkey,Antalya Airport,122611,0,131508.270817289,2294810.49393436,0,107503.264817289,1935215.22993436
Greece,Corfu,125727,0,16330.304631768,19358.665557575,0,11733.372631768,13672.237557575
Spain,Sevilla,123307,5322.313344419,17600.488161429,90862.325088529,4802.668344419,13682.462161429,73266.671088529
Ethiopia,Addis Ababa,122946,0,36278.262,13712.785,0,28318.362,10887.18
United Arab Emirates,Abu Dhabi,120093,0,6089.524446863,529344.875510367,0,5326.206446863,466098.888510367
Egypt,Hurgada,125131,0,350915.805,30515.498,0,259422.597,21205.275
Morocco,Essaouira,100605,20426.22546257,41049.774550759,57836.086504486,17141.48146257,34377.343550759,48575.116504486
Norway,Stavanger,141154,0,1380.848423009,22069.478957153,0,564.911423009,19153.702957153
China,Chengdu Tianfu,144126,0,0,43909.486,0,0,34594.174
Jordan,Marka,123515,184.565,137.095,317.114,172.386,117.225,268.985
