Location,TotalSKU,GreenSKU,RedSKU
Indira Gandhi,27,2,6
Christchurch,6,1,2
Rabil,16,3,7
Zurich,19,0,11
Nanjing Lukou,8,1,2
Nis,6,0,4
Karpathos,4,1,2
Frankfurt,13,1,8
Hannover,12,3,7
Ohrid,8,0,5
Santo Domingo Las Americas,22,4,10
Mykonos,7,0,3
Shannon,5,2,1
Cozumel,20,4,7
Dubai,39,2,25
Beijing,16,0,9
Fukuoka,27,0,18
Guadalajara,20,2,9
Sarajevo,14,1,4
Hebei,11,1,3
Grenoble,6,1,4
Banjul,7,0,4
Hiroshima,13,1,3
Cochin,14,1,3
Kuala Lumpur,11,1,7
Luxor,30,3,5
Macau,7,0,4
Rhodes,24,4,11
Lublin,12,1,1
Naples,16,3,6
Hamburg,12,3,8
Jersey,5,2,2
Buenos Aires Aeroparque,9,1,1
Roland Garros,8,1,4
Ciampino Airport,15,3,7
Szczecin,10,1,4
Liberia,4,2,0
Amsterdam - Schiphol,7,2,4
Krasnoyarsk,11,2,6
Accra,9,0,5
St. George's Point Saline,15,3,8
Katowice,13,1,0
San Jose,4,1,0
Moscow - Domodedovo,13,1,6
Gaborone,1,1,0
Orebro,1,0,0
Harbin Taiping,2,0,0
Santorini,12,1,7
Athens,30,5,13
Beirut - Rafik Hariri,36,3,9
Alexandria,30,4,5
Bari,10,1,4
Berlin Brandenburg,13,3,8
Marka,4,1,2
Nanning Wuxu,18,0,11
Nador,26,5,10
Nantes,12,0,6
Port Louis,6,1,1
Podgorica,3,1,0
Porto Alegre,16,2,5
Paramaribo,17,1,5
Kingston,15,2,3
Ioannina,8,2,3
Jinan Xiaoqiang,12,0,7
Barcelona,9,0,5
Okayama,11,2,5
Yancheng Nanyang,1,0,0
Asturias,5,0,3
Johor Bahru,10,2,4
Jeddah,25,5,14
Aswan,29,3,6
Cordoba,7,2,1
Marseille,14,5,7
Warsaw-Modlin,12,1,3
Varna,4,0,2
Bodrum Airport,70,10,30
Billund,8,1,0
Port-au-Prince (Haiti),17,1,5
Lyon Saint Exupery,14,2,8
Los Cabos,22,4,14
Trondheim,18,2,8
Togo,16,1,4
Paris Orly,14,3,8
Bordeaux,12,2,5
Rotterdam,3,1,2
Dresden,5,0,3
Aarhus,8,1,2
Newcastle,6,0,4
Kaunas,3,0,2
Prague,7,1,3
Malaga,9,0,5
Sharm El Sheikh,31,3,6
Trabzon Airport,56,5,13
Almaty,11,3,6
Basrah,20,3,3
London Luton,5,0,3
Montego Bay,27,4,17
Cheongju,19,0,10
Skopje,11,0,5
Dalaman Airport,70,7,11
Cologne,8,1,6
Radom,5,1,1
Faro Airport,6,0,3
Palermo,9,0,2
Chitose,25,3,5
Leopold Sedar Senghar,10,0,8
Montevideo,2,1,1
Ningbo Lishe,11,0,5
Dubrovnik,2,1,0
Yantai Penglai,9,0,3
Gdansk,12,3,5
Almeria,7,0,5
Nouakchott,9,2,7
Manila - Ninoy Aquino,3,1,1
Tirana,7,0,1
Melbourne,10,1,2
Sevilla,8,0,5
La Palma,8,0,5
Chengdu Tianfu,15,0,8
East Midlands,6,0,4
Kigali,9,2,4
