Year,EBROMId,Market,EBROM,Volume
2024,60276041,Ukraine,MARLBORO FINE TOUCH 3.5 KS RCT 20 SLI (-),12
2024,60243566,Slovak Republic,DAVIDOFF EVOLVED AMETHYST 100 DSP 20 SSL (-),10311
2024,60234738,Indonesia,VERMONT SPM KS BOX 20 (-),16222
2024,50071528,Uganda,DUNHILL (RED) KS BOX 20 (-),255660
2024,60163919,Albania,DUNHILL FINE CUT (BLUE) 100 OCT 20 (-),23471
2024,50069108,Cyprus,CAMEL (SILVER) KS BOX 20 (-),2382
2024,60135624,Germany,JOHN PLAYER SPECIAL BLUESTRE 100 BOX 20 (-),8
2024,60123597,Germany,VOGUE CARACTERE BLEUE LTK BOX 20 SLI (-),21598
2024,60056964,Bolivia,L&M MENTHOL LABEL MNT KS BOX 20 (-),1303
2024,50046932,Spain Mainland,STERLING SUPERKINGS BLUE 100 BOX 20 (-),2191
2024,60199053,Germany,PALL MALL AUTTOBRE KS BOX 22 (-),43812
2024,60210011,Germany,PALL MALL AUTTOBRE KS BOX 21 (-),453
2024,60129961,Bulgaria,LD (BLUE) 100 RCB 20 (-),1
2024,60183461,Mexico,CHESTERFIELD ORIGINAL (4.0) LS RSP 25 (-),83
2024,60279501,Bolivia,ESSE DOUBLE SHOT 100 OCT 20 MSL (-),173
2024,60165135,Colombia,CHESTERFIELD GREEN. MNT KS BOX 10 (-),6
2024,60130476,Australia,ROTHMANS BLFIFEEF KS BOX 40 (-),2
2024,60214353,Germany,CHESTERFIELD ORIGINAL (4.0) KS BOB 24 (-),5
2024,60169109,Iraq,ESSE CHANGE 100 BOX 20 SSL (-),599403
2024,60275791,Corsica,PHILIP MORRIS SILVER KS BOX 20 (-),4830
2024,60135618,Romania,SOBRANIE REDEFINED (WHITE) LTK OCT 20 (-),46619
2024,60209377,Colombia,ROTHMANS RED KS BOX 20 (-),127905
2024,60234446,Russia,KORNET KS DSP 20 SLI (-),113
2024,50031999,Canary Islands,MAYFAIR MNT KS BOX 20 (-),1128
2024,50076551,Hong Kong,FURONGWANG (BLACK) KS BOX 20 (-),12356
2024,60051281,Czech Republic,DAVIDOFF SHAPE (WHITE) KS OCT 20 SLI (-),62721
2024,60199142,Japan,MARLBORO GOLD (3.5) KS RCB 20 (-),703987
2024,60046179,Singapore,LD COOL BLAST MNT KS BOX 20 (-),6460
2024,60166545,Mauritius,CAMEL DOUBLE MINT&PURPLE KS BOX 20 (-),3045
2024,50039682,Serbia,SOBRANIE WHITE RUSSIAN 100 SHO 20 (-),9068
2024,60278729,Azores,MARLBORO CRAFTED(RED) KS BOX 20 (-),1385
2024,60208684,Libya,L&M RED LABEL (5.0 CFB) KS RCB 20 (-),5000
2024,50034328,Palestine Auth. Area,IMPERIAL KS BOX 20 (-),219262
2024,60213037,Cape Verde,CHESTERFIELD ORIGINAL (4.0) KS BOX 20 (-),5200
2024,60239236,Spain Mainland,EMBASSY SILVER KS BOX 20 (-),290
2024,60054256,Czech Republic,CHESTERFIELD BLUE KS BOX 20 (-),13038
2024,50072316,Azerbaijan,DAVIDOFF SLIMS CLASSIC 100 OCT 20 SSL (-),2400
2024,50003063,Greece,ASSOS KS SOF 20 (-),81710
2024,50071621,Botswana,ROTHMANS SPECIAL MILD KS BOX 20 (-),13
2024,60246493,Russia,MANCHESTER COMPACT PURPLE KS RCB 20 SLI (-),86394
2024,60135889,Czech Republic,ROTHMANS OF LONDON BLUE KS OCT 20 (-),56447
2024,60234530,Armenia,CORSET BLACK PEARL 100 SHO 20 SSL (-),576
2024,60077363,New Zealand,CLUB ORIGINAL BLUE KS BOX 20 (-),3492
2024,60137699,Belgium,JOHN PLAYER SPECIAL (RED) KS BOX 23 (-),7044
2024,60246475,Russia,GOLD MILL LUX KS TIN 20 (-),245
2024,60246963,Switzerland,LUCKY STRIKE S1 KS BOX 25 (-),57374
2024,60124850,Hong Kong,MEVIUS PIANISSIMO ONE MNT 100 BOX 20 (-),7919
2024,60256595,Armenia,BENTLEY WHITE KS RCB 20 (-),99
2024,60037289,Qatar,DAVIDOFF ONE 100 OCT 20 SLI (-),7273
2024,50070032,Switzerland,FRED (ROSE) KS BOX 20 (-),1125
2024,60071150,Japan,LARK ICE MINT (CAPSULE) 5 MNT 100 RCB 20 (-),1790
2024,60131443,Russia,PEPE RICH GREEN 100 DSP 20 SSL (-),1321
2024,60163472,Algeria,PHILIP MORRIS BLUE KS RCB 20 (-),858011
2024,60137296,Belgium,CAMEL (YELLOW) KS BOX 35 (-),143850
2024,60241050,Armenia,TATTOO VANILLA KS OCT 20 (-),544
2024,60122421,Russia,FANTOM CLASSIC BLUE KS BOX 20 (-),65844
2024,60193776,Argentina,LUCKY STRIKE CRISP GREEN KS BOX 20 (-),1043
2024,60125737,Hungary,PHILIP MORRIS BLUE KS BOX 20 (-),61769
2024,60238737,Iceland,WINSTON SLIMS MNT 100 BOX 20 SLI (-),3952
2024,50040733,Czech Republic,GAULOISES BLONDES (ORANGE) KS BOX 20 (-),835
2024,60238659,Bulgaria,DAVIDOFF SL-LINE GOLD 100 OCT 20 XSL (-),18554
2024,60036774,Slovenia,BENSON & HEDGES BLACK SLIDE KS PSB 20 (-),1135
2024,60057032,Germany,JOHN PLAYER SPECIAL JUST RED KS BOX 21 (-),5
2024,60167098,Australia,HORIZON 93MM LONG GOLD LTK BOX 20 (-),6614
2024,60165839,Taiwan,DUNHILL 7 LTK OCT 20 (-),137260
2024,60081131,Korea,MARLBORO ICE BLAST (2.0) MNT KS BOX 20 (-),322643
2024,60230258,Mongolia,MEVIUS MIX GREEN 100 BOX 20 SSL (-),5645
2024,60071243,Taiwan,MEVIUS WIND BLUE KS RCB 20 (-),363883
2024,60040266,Kazakhstan,LD PINK 100 DSP 20 SSL (-),51348
2024,50054183,Israel,PALL MALL (BLUE) KS RCB 20 (-),68826
2024,60208179,Denmark,PALL MALL ORIGINAL RED 100 BOX 20 (-),6660
2024,50068784,Israel,WINSTON CLASSIC KS SOF 20 (-),6135
2024,60081376,North Macedonia,MONTE CARLO BLUE KS RCB 19 (-),49179
2024,60096447,Netherlands,CAMEL BLUE KS BOX 26 (-),50601
2024,60256306,Kosovo,LUCKY STRIKE RA PATTERSON KS RCB 20 (-),1341
2024,60277093,Uzbekistan,MILANO CHANGE AMBER 100 BOX 20 SSL (-),64
2024,60280674,Australia,WINFIELD SIGNATURE BLUE KS BOX 20 (-),1193
2024,60078064,Brazil,CAMEL (YELLOW) KS CUR 20 (-),387001
2024,60213164,Armenia,MORION CRYSTAL GOLD 100 DSP 20 SSL (-),2718
2024,60208294,Indonesia,ESSE CHANGE DOUBLE LTK BOX 20 (-),1657952
2024,60278575,Russia,PLATINUM SEVEN BLACK FASHION KS RCB 20 (-),47
2024,60199099,Armenia,DAVIDOFF BLUE KS RCB 20 (-),6892
2024,60236395,Romania,DUNHILL OPUS ENIGMA BLUE LTK BOX 20 SLI (-),2883
2024,60061783,India,CAVANDERS GOLD 64MM RS BOX 10 (-),392280
2024,60208237,Croatia,MARLBORO FINE TOUCH 3.5 KS RCT 20 SLI (-),202126
2024,60193151,Russia,KORONA YELLOW 100 RCB 20 SLI (-),23489
2024,60236524,Japan,MEVIUS E-SERIES 1 100 DSP 20 SSL (-),679483
2024,60274860,Germany,MARLBORO GOLD (3.5) KS BOM 30 (-),202387
2024,60205686,Russia,GARNI BLACK 100 OCT 20 SSL (-),6906
2024,60232883,Australia,CHESTERFIELD GOLD KS BOX 30 (-),8113
2024,60169933,Lesotho,LD BLUE KS BOX 20 (-),249
2024,60080116,Myanmar,FLAVOUR KS BOX 20 (-),412728
2024,60099459,Macau,MARLBORO WMENT2.0 MNT KS BOS 20 (-),9640
2024,60100076,Italy,THE KING RED KS RCB 20 (-),82228
2024,50008676,Spain Mainland,JOHN PLAYER SPECIAL RED KS BOX 20 (-),40372
2024,60235364,Czech Republic,MARLBORO GOLD (3.5 ORIGINAL) KS BOX 20 (-),276008
2024,60135186,Brazil,MARLBORO (RED 2.5) KS RSP 20 (-),462725
2024,60171232,Egypt,MARLBORO PURPLE MIX KS RCB 20 (-),112618
2024,50042232,Togo,FINE KS BOX 20 (-),69253
2024,60053962,Belarus,MINSK CITY KS DSP 20 SSL (-),457870
2024,60212506,Australia,CRAVEN BLUE KS BOX 20 (-),8
2024,60046450,Austria,BENSON & HEDGES BLACK 100 BOX 20 (-),28437
2024,60246481,Bolivia,MARLBORO GOLD (3.5) KS RCB 20 (-),586
2024,60136556,Australia,PETER JACKSON RICH GOLD FRM KS BOX 40 (-),23003
2024,60205195,Qatar,L&M BLUE LABEL (5.0 CWB) KS RCS 20 (-),20841
2024,60130251,Netherlands,PALL MALL ALPINE MNT KS BOX 20 (-),11
2024,60118398,Ukraine,PRIMA LUX NO8 KS RCB 20 (-),269802
2024,50041539,Switzerland,PARISIENNE CIEL KS BOX 20 (-),57129
2024,60057845,Bahrain,WILLS NAVY CUT (GOLD) KS RCB 10 (-),9216
2024,60232204,Albania,LUCKY STRIKE SCU KS RCB 20 (-),9401
2024,50024878,Russia,TROIKA KS BOX 20 (BIYSK TF),1374
2024,50049176,Ukraine,DAVIDOFF ONE LTK OCT 20 (-),14473
2024,60207798,South Africa,CHESTERFIELD RED (4.0) KS RCB 20 (-),27302
2024,60258648,Russia,FREEDOM SQUARE BLACK KS RCB 20 (-),52
2024,60256383,UAE,ESSE SENSE 1 100 BOX 20 SSL (-),1705
2024,60119708,Germany,GAULOISES BLONDES (BLUE) KS BOX 26 (-),1
2024,60238494,Peru,PALL MALL SUNRISE 120 RCB 20 (-),5727
