Year,EBROMId,Volume
2024,60164735,9001
2024,60206282,742
2024,60099334,27198
2024,50001950,630
2024,60233024,2439
2024,50080603,80224
2024,60137300,9121
2024,60063962,5316
2024,50028748,5
2024,60169760,48771
2024,60230428,6122
2024,60235720,14595
2024,60232466,3360
2024,60208823,516
2024,60040528,80794
2024,60136197,1835
2024,50027022,64413
2024,60097096,12821
2024,60231974,137
2024,60214313,162
2024,60169769,3
2024,50046932,2191
2024,60129719,62543
2024,60170006,64
2024,60272336,264
2024,60053087,11140
2024,60240077,63
2024,60209863,3395
2024,60078656,7810
2024,50047311,423
2024,50012671,2952
2024,60197511,3
2024,60095305,1
2024,60199054,9839
2024,60129315,8086
2024,60258196,5079
2024,60237681,5646
2024,60246654,7585
2024,60275175,12
2024,60239152,8739
2024,60169384,8
2024,50064376,3
2024,60078043,19997
2024,50058740,14
2024,60214214,9019
2024,60058470,3
2024,60162204,10425
2024,60126973,15997
2024,60185383,1
2024,60169929,213
2024,60137670,27
2024,60056186,6054
2024,60232777,184
2024,60194114,1
2024,60273407,915
2024,60212094,5
2024,60118339,10
2024,60196553,64
2024,60256342,10
2024,60230494,6
2024,60279283,4922
2024,60236081,15806
2024,50064395,14
2024,60169822,1
2024,60167055,12
2024,60276371,6
2024,60071032,14
2024,60232014,463
2024,60232263,21
2024,60279229,2028
2024,60236417,19232
2024,60194112,1
2024,60230488,1
2024,60237302,5
2024,60236027,1
2024,60258935,8218
2024,50074452,34
2024,60280074,33
2024,60232229,1
2024,60134128,4
2024,60207140,1
2024,60214185,5114
2024,60183280,43
2024,60119802,7710
2024,60196558,19
2024,60056516,2
2024,60126749,537
2024,60246905,2410
2024,50071466,510
2024,50066011,75038
2024,60167224,2356
2024,50001458,101253
2024,60205177,165
2024,60192468,124983
2024,50055690,4847
2024,60171268,101797
2024,50067583,26911
2024,60082248,222140
2024,60273573,165576
2024,50065743,45272
2024,60129659,43694
2024,60275851,3861
2024,60230427,18156
2024,50051736,30914
2024,60135702,33715
2024,60195607,12619
2024,60206743,1704225
2024,60232337,369275
2024,60119242,833
2024,60183476,47900
2024,60205411,360420
2024,60213332,49848
2024,60212122,401038
2024,50070010,74921
2024,60096116,56297
2024,60212010,84
2024,50072474,64
2024,60170007,478
2024,50071822,6710
2024,60189066,8759
2024,60126698,19592
2024,60273374,51305
2024,60058086,76
2024,60123946,135940
2024,50037041,21503
2024,60271461,21867
2024,60232683,86
2024,60188551,25740
2024,60257322,61
2024,60232504,98772
2024,60037975,3511
2024,50008783,1276
2024,50028313,2130
2024,50044392,31090
2024,60118176,26347
2024,60047141,125856
2024,60129712,504
2024,60207207,331686
2024,60232258,6081
2024,50008522,589986
2024,60072368,173359
2024,60165332,1438644
2024,60192569,127425
2024,60208901,27622
2024,60122878,49783
2024,60206744,51673
2024,50035382,1917
2024,50065040,12430
2024,60241052,494
2024,60065539,143262
2024,60137663,217
2024,60196597,6
2024,60213309,6922
2024,60162356,835919
2024,60196514,643
2024,60061476,6645
2024,60162301,91
2024,60049855,774
2024,60053411,9558336
2024,50031845,46163
2024,60238266,20849
2024,60188827,76
2024,50065351,2613
2024,50041724,3481
2024,60212701,889
2024,50072484,295
2024,60230332,7240
2024,60274313,1912
2024,50072457,95
2024,60076559,11831
2024,60273547,2792
2024,60169852,330
2024,60214596,260
2024,50000643,279327
2024,60207721,111097
2024,60189259,15821
2024,60169054,16126
2024,60246484,12309
2024,60122874,8730
2024,60166298,280104
2024,60184667,52887
2024,60079803,1409
2024,50057978,9604
2024,60209033,5899
2024,60210682,8527
2024,50011181,62444
2024,50000864,4009
2024,60170080,108162
2024,60135626,15
2024,60185320,8198
2024,60047319,57925
