IATA,PORT_CODE_ID,Airport,LOCATION_ID,Location,DF_Market
XRY,1022,Jerez Airport (La Parra Airport),314,Jerez De La Frontera,Spain
ULN,1614,Chinggis Khaan Intl Airport,745,Ulaanbaatar,Mongolia
PRG,753,Vaclav Havel Airport Prague,570,Prague,Czech Republic
CAI,164,Cairo Intl Airport,4448,Sphinx,Egypt
TLV,937,Ben Gurion Intl Airport,90,Tel-Aviv,Israel
LDE,515,Tarbes-Lourdes-Pyrenees Airport,705,Tarbes - Lourdes,France DP
PTY,761,Tocumen Intl Airport,723,Panama Tocumen,Panama
YYC,1040,Calgary Intl Airport,2973,Calgary,Canada
SVG,896,"Stavanger Airport, Sola",686,Stavanger,Norway
DYU,1575,Dushanbe Intl Airport,208,Dushanbe,Tajikistan
LAS,504,McCarran Intl Airport,4419,Las Vegas,United States
SSH,886,Sharm el-Sheikh Intl Airport,658,Sharm El Sheikh,Egypt
CMB,202,Bandaranaike Intl Airport,65,Bandaranaike,Sri Lanka
MPL,625,Mediterranee Airport (Frejorgues Airport),468,Montpellier,France DP
ERZ,1178,Erzurum Airport,218,Erzurum,Turkey
BAH,76,Bahrain Intl Airport,2966,Manama,Bahrain
MPL,625,Mediterranee Airport (Frejorgues Airport),469,Montpellier,France
KYA,1181,Konya Airport,354,Konya Airport,Turkey
CAI,164,Cairo Intl Airport,4447,Taba,Egypt
VCE,991,Venice Marco Polo Airport,753,Venice,Italy
WNZ,1295,Wenzhou Yongqiang Airport,771,Wenzhou Longwan,China
LGA,526,LaGuardia Airport,4417,New York La Guardia,United States
BZV,161,Maya-Maya Airport,3173,Maya,Congo
CGQ,181,Changchun Longjia Intl Airport,146,Changchun Longjia,China
KOJ,1591,Kagoshima Airport,325,Kagoshima,Japan
OKJ,685,Okayama Airport,521,Okayama,Japan
POA,748,Salgado Filho Intl Airport,567,Porto Alegre,Brazil
BSL,146,EuroAirport Basel-Mulhouse-Freiburg,76,Basel,Switzerland
SZX,910,Shenzhen Bao'an Intl Airport,4387,Pengsheng,China
SZG,909,Salzburg Airport,619,Salzburg,Austria
MSQ,635,Minsk Intl Airport (Minsk-2),458,Minsk,Belarus
SVQ,898,San Pablo Airport,648,Sevilla,Spain
MJV,607,Murcia-San Javier Airport,3064,Murcia,Spain DP
AER,26,Sochi Intl Airport,676,Sochi,Russia
TLS,936,Toulouse Blagnac Intl Airport,727,Toulouse,France DP
ASF,1523,Narimanovo Airport,3033,Astrakhan,Russia
DNZ,1176,Denizli cardak Airport,3637,Denizli Cardak Airport,Turkey
OZZ,707,Ouarzazate Airport,535,Ouarzazate,Morocco
LHE,1593,Allama Iqbal Intl Airport,382,Lahore,Pakistan
