DF_Market,Location,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Serbia,Belgrade,Regular,Lights,STD,100,1,30,3.333333000000
Spain DP,Alicante,Regular,Full Flavor,STD,KS,29,46,63.043478000000
Netherlands,Eindhoven,Regular,Full Flavor,STD,KS,7,9,77.777778000000
Spain DP,Almeria,Regular,Ultralights,STD,KS,1,27,3.703704000000
Switzerland,Basel,Regular,Full Flavor,SLI,100,1,50,2.000000000000
Tunisia,Monastir,Regular,Full Flavor,SLI,100,1,65,1.538462000000
Russia,Moscow - Domodedovo,Regular,Full Flavor,STD,100,1,13,7.692308000000
China,Sanya Fenghuang,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Sri Lanka,Colombo,Menthol,Full Flavor,STD,KS,2,40,5.000000000000
United Arab Emirates,Sharjah,Regular,Full Flavor,SSL,100,12,61,19.672131000000
Dominican Republic,La Romana,Menthol,Full Flavor,SSL,100,2,15,13.333333000000
South Korea,Jeju,Menthol,Full Flavor,SSL,100,1,90,1.111111000000
Indonesia,Ngurah Rai,Regular,Full Flavor,SLI,KS,1,73,1.369863000000
Great Britain,Manchester,Regular,Ultralights,STD,KS,1,30,3.333333000000
Ecuador,Quito,Regular,Full Flavor,STD,KS,9,19,47.368421000000
China,Xiamen Gaoqi,Menthol,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Morocco,Al Hoceima,NTD Caps,Full Flavor,STD,KS,3,45,6.666667000000
China,Wenzhou Longwan,Regular,Full Flavor,STD,100,2,73,2.739726000000
Spain,Murcia,Regular,Full Flavor,SSL,100,1,18,5.555556000000
Saudi Arabia,Medina,Regular,Full Flavor,SSL,KS,1,37,2.702703000000
Dominican Republic,Samana El Catey,Menthol,Full Flavor,SSL,100,2,13,15.384615000000
Malaysia,Kuala Lumpur,Menthol,Full Flavor,STD,KS,3,25,12.000000000000
South Korea,Busan - Kimhae,NTD Caps,Full Flavor,STD,KS,21,93,22.580645000000
Italy,Verona,Regular,Full Flavor,STD,KS,6,10,60.000000000000
Turkey,Antalya Gazipasa Airport,Regular,Lights,STD,100,1,49,2.040816000000
China,Yantai Penglai,Menthol,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Spain DP,Valencia,Regular,Full Flavor,STD,KS,26,42,61.904762000000
Russia,Moscow - Sheremetyevo,Regular,Lights,STD,100,1,22,4.545455000000
Japan,Fukuoka,Regular,Full Flavor,STD,100,2,86,2.325581000000
Turkey,Trabzon Airport,Regular,Lights,STD,KS,3,37,8.108108000000
Malaysia,Kuala Lumpur,Regular,Full Flavor,SSL,100,1,25,4.000000000000
Albania,Tirana,Regular,Full Flavor,SSL,KS,1,81,1.234568000000
Great Britain,Newcastle,Menthol,Full Flavor,STD,KS,2,25,8.000000000000
Canary Islands,Tenerife,Regular,Lights,STD,KS,5,42,11.904762000000
Portugal,Madeira,NTD Caps,Full Flavor,SSL,100,1,15,6.666667000000
Greece,Zakynthos,Regular,Full Flavor,STD,KS,21,35,60.000000000000
Mexico,Mexico City,Menthol,Full Flavor,STD,KS,3,57,5.263158000000
Turkey,Trabzon Airport,Regular,Full Flavor,SLI,100,2,37,5.405405000000
French Guyana,Cayenne,Menthol,Full Flavor,STD,100,1,18,5.555556000000
China,Mudanjiang Hailang,Menthol,Full Flavor,SLI,100,1,71,1.408451000000
United Arab Emirates,Sharjah,Regular,Full Flavor,SSL,KS,1,61,1.639344000000
Great Britain,London Luton,Regular,Full Flavor,STD,KS,12,22,54.545455000000
El Salvador,San Salvador Comalapa,Regular,Full Flavor,SSL,100,1,16,6.250000000000
Morocco,Nador,Regular,Full Flavor,SSL,100,3,33,9.090909000000
United Arab Emirates,Sharjah,Regular,Lights,STD,KS,5,61,8.196721000000
Mauritania,Nouakchott,Regular,Full Flavor,STD,KS,11,19,57.894737000000
Macau,Macau,Regular,Full Flavor,STD,LONGER THAN KS,1,24,4.166667000000
Tunisia,Monastir,Menthol,Full Flavor,SSL,100,2,65,3.076923000000
Greece,Zakynthos,NTD Caps,Full Flavor,STD,KS,1,35,2.857143000000
China,Weihai Dashuibo,Menthol,Full Flavor,STD,LONGER THAN KS,1,68,1.470588000000
Great Britain,Southampton,Menthol,Full Flavor,STD,KS,2,27,7.407407000000
Kenya,Jomo Kenyatta,Regular,Lights,STD,100,1,36,2.777778000000
Ghana,Accra,Regular,Lights,STD,KS,4,37,10.810811000000
South Korea,Cheongju,Menthol,Full Flavor,STD,KS,3,78,3.846154000000
Ecuador,Guayaquil,Regular,Full Flavor,STD,KS,4,9,44.444444000000
Tunisia,Enfidha,Menthol,Full Flavor,STD,KS,2,50,4.000000000000
Ireland,Dublin,Regular,Full Flavor,STD,100,1,10,10.000000000000
China,Changsha Huanghua,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
Uzbekistan,Tashkent,Regular,Full Flavor,SSL,100,1,4,25.000000000000
South Korea,Yangyang,Regular,Full Flavor,STD,KS,18,43,41.860465000000
Switzerland,Zurich,Regular,Lights,STD,100,2,68,2.941176000000
Russia,Astrakhan,Regular,Full Flavor,STD,KS,6,8,75.000000000000
Saudi Arabia,Medina,Menthol,Full Flavor,SSL,100,1,37,2.702703000000
France DP,Nice,Regular,Full Flavor,STD,KS,17,28,60.714286000000
Ethiopia,Addis Ababa,Regular,Full Flavor,SLI,100,1,74,1.351351000000
Cape Verde,Espargos,NTD Caps,Full Flavor,STD,KS,3,39,7.692308000000
Turkey,Konya Airport,NTD Caps,Full Flavor,STD,KS,2,33,6.060606000000
China,Chongqing Jiangbei,Regular,Full Flavor,SSL,100,4,73,5.479452000000
China,Urumchi Diwobao,Regular,Full Flavor,STD,100,2,73,2.739726000000
Turkey,Denizli Cardak Airport,Menthol,Full Flavor,SSL,100,1,23,4.347826000000
China,Ningbo Lishe,Regular,Full Flavor,STD,KS,56,73,76.712329000000
Great Britain,Cardiff,Regular,Lights,STD,KS,4,21,19.047619000000
