SKU,Item per Bundle,CR_BrandId,DF_Market,Location,TMO
MARLBORO - DOUBLE FUSION MENTHOL KS BOX 600 C TRU SPECIAL OUTER WHITE - GENERIC DF-ENG TXT,600,144768,Mexico,Puerto Vallarta,PMI
WINSTON - LIGHTS KS BOX,600,45191,Morocco,Agadir,JTI
CHUNGHWA - KS SOFT,200,47099,China,Hangzhou Xiaoshan,CHINA NATIONAL
MARLBORO - TOUCH AQUA MENTHOL KS DSP C SLIMS WHITE - TURKEY DF,200,124799,Turkey,Istanbul Airport,PMI
PALL MALL - (BLUE) KS BOX,200,51685,Spain DP,Mahon Airport,BAT
GUI YAN - (BROWN) RS RCB,200,109447,Kyrgyzstan,Manas,CHINA NATIONAL
WINSTON - BLUE KS BOX,400,54088,Turkey,Istanbul Asia Airport,JTI
STERLING - SUPERKINGS MENTHOL 100's BOX,200,44907,Aruba,Oranjestad,JTI
MARLBORO - BLOSSOM FUSION MENTHOL KS BOX C CHI WHITE - JAPAN DF,200,138184,Japan,Tokyo - Narita,PMI
DAVIDOFF - EVOLVE RED KS BOX,200,124454,Peru,Lima,IMPERIAL BRANDS
DUNHILL - (BLUE) KS BOX,200,49364,Kuwait,Kuwait,BAT
PHILIP MORRIS - KS BOX - GENERIC DF-ENG TXT,200,123506,Tunisia,Monastir,PMI
ESSE - MENTHOL MENTHOL 100's BOX SUPERSLIMS,200,46854,South Korea,Cheongju,KT & G
DAVIDOFF - CLASSIC 90's OCTAGONAL PACK,200,43247,Greece,Chania,IMPERIAL BRANDS
DAVIDOFF - (WHITE) KS BOX,200,70865,Morocco,Fes,IMPERIAL BRANDS
L&M - BLUE LABEL (5.0 CWB) KS RCB - ENGLISH GHW TPD2 DF - IDM POLAND,200,124252,Poland,Lublin,PMI
STATE EXPRESS 555,200,38071,China,Guangzhou Baiyun,BAT
MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS RCS C WRG JUMBO RC WHITE - GENERIC DF-ENG TXT,200,122897,Egypt,Alexandria,PMI
LIQUN - (RED) KS BOX,200,60578,China,Chengdu Tianfu,CHINA NATIONAL
MARLBORO - (RED FWD) KS RCB 600 SPECIAL OUTER - UNITED KINGDOM DF - IDM UNITED KINGDOM,600,122753,Great Britain,Leeds Bradford,PMI
MARLBORO - SILVER BLUE (3.5) KS RCS WHITE - GENERIC DF-ENG TXT,200,123513,Egypt,Alexandria,PMI
CHUNGHWA - KS SOFT,200,47099,Peru,Lima,CHINA NATIONAL
MONUS - (GREY) 100's OCTAGONAL PACK SLIMS,200,54940,Turkey,Istanbul Asia Airport,MONUS
CAMEL - ACTIVATE KS BOX C,200,67982,Mexico,Mexico City,JTI
GLAMOUR - MENTHOL 100's L-STICK BOX SUPERSLIMS,400,54225,Mexico,Cancun,JTI
BENSON & HEDGES - KS BOX,600,45433,Great Britain,London Stansted,BAT
CAMEL - KS BOX,200,43011,Spain,Sevilla,JTI
DOUBLE HAPPINESS - KS BOX,200,46152,China,Taiyuan Wusu,CHINA NATIONAL
PARLIAMENT - AQUA BLUE KS RCB WHITE - GENERIC DF-ENG TXT - ALTERNATIVE,200,125074,Macedonia,Ohrid,PMI
WINSTON - BLUE KS BOX,200,54088,France,Paris Orly,JTI
FORTUNA - RED LINE KS BOX,200,61088,Spain DP,Barcelona,IMPERIAL BRANDS
MARLBORO - GOLD (3.5) KS RCB - ZONE 1 DF - IDM SWITZERLAND,200,123956,Switzerland,Basel,PMI
SUPERKINGS - MENTHOL KS BOX,200,54390,Mexico,Los Cabos,IMPERIAL BRANDS
PARISIENNE - JAUNE KS SOFT,200,52884,Switzerland,Geneva,BAT
MARLBORO - GOLD (3.5) KS RCB - SPAIN DF - IDM SPAIN,200,122496,Spain,Ibiza,PMI
MARLBORO - TOUCH BLUE 2.0 KS  600 SLIMS WHITE - TURKEY DF,600,122870,Turkey,Trabzon Airport,PMI
ESSE - SPECIAL GOLD 100's BOX SUPERSLIMS,200,52613,South Korea,Incheon,KT & G
MARLBORO - GOLD (3.5) KS RCB - ENGLISH GHW TPD2 DF - IDM SWEDEN,200,122909,Sweden,Stockholm Arlanda,PMI
WEST - SILVER KS BOX,200,46755,Switzerland,Geneva,IMPERIAL BRANDS
KENT - SPARK NAVY BLUE KS RCB,200,106878,Turkey,Konya Airport,BAT
MARLBORO - RED 3.5 KS BOX - ENGLISH GHW TPD2 DF - IDM PORTUGAL,200,125470,Portugal,Porto,PMI
LUCKY STRIKE - ADDITIVE FREE (RED) KS BOX,200,86131,Spain,Bilbao,BAT
MARLBORO - GOLD (2.0 ORIGINAL) KS RCB TRANSPARENT BUNDLE - UNITED KINGDOM DF - IDM UNITED KINGDOM,200,125044,Great Britain,London Stansted,PMI
DAVIDOFF - LIGHTS KS BOX,400,47571,Morocco,Agadir,IMPERIAL BRANDS
MARLBORO - RED 3.5 KS BOX - GENERIC DF-ENG TXT,200,125837,Ecuador,Guayaquil,PMI
BENSON & HEDGES,200,38354,Vietnam,Ho Chi Minh,BAT
WINSTON - BLUE KS BOX,200,54088,Germany,Hamburg,JTI
CAMEL - (YELLOW) KS BOX,200,49844,Spain,Asturias,JTI
SUPERKINGS - BLUE 100's BOX,200,46019,France,Tarbes - Lourdes,IMPERIAL BRANDS
STERLING - SUPERKINGS MENTHOL MENTHOL 100's BOX,400,91239,Great Britain,Manchester,JTI
CAMEL - (YELLOW) KS BOX,400,49844,Spain,Barcelona,JTI
DOUBLE HAPPINESS - DELUXE (RED) KS BOX,200,103412,China,Yantai Penglai,NANYANG BROTHERS
KARELIA - SLIMS (BLUE) 100's BOX SLIMS,200,53451,China,Taiyuan Wusu,KARELIA TOBACCO
MARLBORO - RED 3.5 100's RCB - GENERIC DF-ENG TXT,200,125597,Iraq,Baghdad,PMI
REGAL - KS BOX,200,44605,Spain,Malaga,IMPERIAL BRANDS
UNDEFINED,200,0,China,Quanzhou,CHINA NATIONAL
STERLING - MENTHOL MENTHOL KS BOX,200,58605,Spain,Palma De Mallorca,JTI
NATURAL AMERICAN SPIRIT - (BLUE) KS BOX,200,54054,Mexico,Guadalajara,JTI
DUNHILL - INTERNATIONAL KS BOX,200,47577,Gambia,Banjul,BAT
STERLING - SUPERKINGS MENTHOL MENTHOL 100's BOX,600,91239,Great Britain,Newcastle,JTI
WINSTON - BLUE KS BOX,600,54088,Switzerland,Basel,JTI
MILD SEVEN - INTERNATIONAL KS BOX,200,45709,China,Chongqing Jiangbei,JTI
PHILIP MORRIS - KS BOX 400 TRANSPARENT BUNDLE - FRANCE DF GHW-FR05 - IDM FRANCE,400,122362,France,Nice,PMI
DAVIDOFF - EVOLVE BLUE KS BOX,200,124453,Bahrain,Manama,IMPERIAL BRANDS
MARLBORO - EXOTIC FUSION KS RCT 600 C PSW SLIMS SPECIAL OUTER WHITE - TURKEY DF,600,144240,Turkey,Gaziantep Airport,PMI
MEVIUS - OPTION KS RCB C,200,91512,China,Chongqing Jiangbei,JTI
KARELIA - SLIMS (CREME COLOR) 100's BOX SLIMS,200,54989,Turkey,Antalya Airport,KARELIA TOBACCO
GAULOISES - BLONDES (RED) KS BOX,400,45358,Morocco,Marrakech,IMPERIAL BRANDS
WINSTON - CASTER WHITE 5 KS RCB,200,107509,Japan,Osaka - Kansai,JTI
LAMBERT & BUTLER - BLUE KS BOX,400,96896,Portugal,Lisbon,IMPERIAL BRANDS
LUCKY STRIKE - CLICK & ROLL KS BOX C,200,59257,Brazil,Florianopolis,BAT
PARLIAMENT - SILVER BLUE KS RCS JUMBO RC WHITE - GENERIC DF-ENG TXT,200,122945,Lebanon,Beirut - Rafik Hariri,PMI
L&M - RED LABEL (5.0 CWB) KS RCB - TURKEY DF,200,122589,Turkey,Cukurova Airport,PMI
MARLBORO - RED 3.5 KS BOX - ENGLISH GHW TPD2 DF - IDM AUSTRIA,200,125445,Austria,Vienna,PMI
